# x_m,y_m,z
-80.621093,-153.938303,-8.0621093
-85.617536,-153.876483,-8.5617536
-90.613978,-153.814546,-9.0613978
-95.610418,-153.75249,-9.5610418
-100.606857,-153.690311,-10.0606857
-105.603294,-153.628005,-10.5603294
-110.59973,-153.565568,-11.059973
-115.596164,-153.502996,-11.5596164
-120.592596,-153.440287,-12.0592596
-125.589026,-153.377436,-12.5589026
-130.585455,-153.314439,-13.0585455
-135.581881,-153.251292,-13.5581881
-140.578306,-153.187993,-14.0578306
-145.574729,-153.124537,-14.5574729
-150.57115,-153.06092,-15.057115
-155.567568,-152.997138,-15.5567568
-160.563984,-152.933169,-16.0563984
-165.560396,-152.868935,-16.5560396
-170.556803,-152.804354,-17.0556803
-175.553206,-152.739388,-17.5553206
-180.549604,-152.674017,-18.0549604
-185.545997,-152.608221,-18.5545997
-190.542383,-152.54198,-19.0542383
-195.538764,-152.475272,-19.5538764
-200.535138,-152.408078,-20.0535138
-205.531505,-152.340378,-20.5531505
-210.527864,-152.272151,-21.0527864
-215.524217,-152.203377,-21.5524217
-220.520561,-152.134035,-22.0520561
-225.516897,-152.064106,-22.5516897
-230.513225,-151.993568,-23.0513225
-235.509544,-151.922403,-23.5509544
-240.505854,-151.850588,-24.0505854
-245.502147,-151.777809,-24.5502147
-250.498352,-151.699059,-25.0498352
-255.493841,-151.592865,-25.5493841
-260.487574,-151.427713,-26.0487574
-265.478268,-151.181761,-26.5478268
-270.463882,-150.843771,-27.0463882
-275.441493,-150.403363,-27.5441493
-280.407688,-149.848658,-28.0407688
-285.357902,-149.167218,-28.5357902
-290.287092,-148.346979,-29.0287092
-295.18935,-147.377413,-29.518935
-300.055145,-146.250676,-30.0055145
-304.881621,-144.956406,-30.4881621
-309.64968,-143.457576,-30.964968
-314.321961,-141.691998,-31.4321961
-318.881137,-139.646797,-31.8881137
-323.312518,-137.339624,-32.3312518
-327.591665,-134.763093,-32.7591665
-331.702079,-131.9229,-33.1702079
-335.640483,-128.848743,-33.5640483
-339.411967,-125.571888,-33.9411967
-343.024834,-122.120785,-34.3024834
-346.489354,-118.520752,-34.6489354
-349.817339,-114.793952,-34.9817339
-353.022222,-110.960657,-35.3022222
-356.119099,-107.039509,-35.6119099
-359.124279,-103.047559,-35.9124279
-362.055085,-99.000691,-36.2055085
-364.929049,-94.913221,-36.4929049
-367.762473,-90.797428,-36.7762473
-370.571034,-86.66457,-37.0571034
-373.370489,-82.525515,-37.3370489
-376.176546,-78.390913,-37.6176546
-379.0048,-74.271458,-37.90048
-381.870507,-70.177971,-38.1870507
-384.788197,-66.121366,-38.4788197
-387.77217,-62.113284,-38.777217
-390.838999,-58.168421,-39.0838999
-394.010608,-54.307266,-39.4010608
-397.304054,-50.549346,-39.7304054
-400.732499,-46.914465,-40.0732499
-404.312926,-43.429463,-40.4312926
-408.063451,-40.128369,-40.8063451
-411.997729,-37.048915,-41.1997729
-416.12423,-34.232463,-41.612423
-420.444858,-31.724254,-42.0444858
-424.953744,-29.573771,-42.4953744
-429.635186,-27.831186,-42.9635186
-434.460717,-26.544058,-43.4460717
-439.391007,-25.750324,-43.9391007
-444.376187,-25.445079,-44.4376187
-449.369594,-25.581793,-44.9369594
-454.336865,-26.114226,-45.4336865
-459.253831,-26.997179,-45.9253831
-464.107751,-28.180031,-46.4107751
-468.881751,-29.654147,-46.8881751
-473.553109,-31.426438,-47.3553109
-478.116134,-33.461667,-47.8116134
-482.578754,-35.708799,-48.2578754
-486.949848,-38.129425,-48.6949848
-491.234969,-40.699415,-49.1234969
-495.438913,-43.400237,-49.5438913
-499.56848,-46.213444,-49.956848
-503.633637,-49.118858,-50.3633637
-507.647722,-52.09449,-50.7647722
-511.61816,-55.128203,-51.161816
-515.548296,-58.213979,-51.5548296
-519.441017,-61.346831,-51.9441017
-523.29938,-64.521906,-52.329938
-527.126589,-67.73447,-52.7126589
-530.925979,-70.979891,-53.0925979
-534.701001,-74.253627,-53.4701001
-538.455205,-77.55122,-53.8455205
-542.192225,-80.868274,-54.2192225
-545.915769,-84.200451,-54.5915769
-549.629596,-87.543455,-54.9629596
-553.337507,-90.89302,-55.3337507
-557.043327,-94.244898,-55.7043327
-560.750891,-97.594846,-56.0750891
-564.464027,-100.938615,-56.4464027
-568.186544,-104.271937,-56.8186544
-571.922211,-107.590511,-57.1922211
-575.674749,-110.889994,-57.5674749
-579.447804,-114.165991,-57.9447804
-583.24496,-117.414018,-58.324496
-587.069762,-120.62944,-58.7069762
-590.925675,-123.807481,-59.0925675
-594.816024,-126.943266,-59.4816024
-598.743996,-130.031796,-59.8743996
-602.712737,-133.067593,-60.2712737
-606.726542,-136.043395,-60.6726542
-610.793325,-138.946462,-61.0793325
-614.92703,-141.753403,-61.492703
-619.143024,-144.43501,-61.9143024
-623.454611,-146.959865,-62.3454611
-627.871833,-149.294765,-62.7871833
-632.400694,-151.404677,-63.2400694
-637.042543,-153.252482,-63.7042543
-641.793377,-154.798268,-64.1793377
-646.642653,-155.999399,-64.6642653
-651.571913,-156.811077,-65.1571913
-656.553289,-157.186996,-65.6553289
