# x_m,y_m,width
605.6549098882824,-532.1984970662743,12.140207819689609
609.574019042775,-538.9102451335639,12.448858182444441
611.5079272267176,-544.0696568805724,11.936312199924338
613.5130159215769,-549.5830617574975,12.023303381769189
615.0760498899035,-555.9867155933753,12.742251626035076
615.6809142745333,-562.1871271515265,11.476705937424242
615.5547354378505,-567.6696395417675,10.88559865003571
615.2102037506411,-572.4098161961883,11.143098445941318
614.3193838504376,-577.21662385948,11.779860363548833
613.3152093668468,-582.7665532194078,11.925745291262224
611.7392746865517,-588.3649118812755,11.924221223637307
593.5987753268564,-643.7888315469027,12.045522503942472
597.3975567558082,-632.147463735193,11.902219157606124
609.2775273481384,-595.0001356080174,11.809440298064912
591.7066028887639,-648.9399265255779,12.100667454217636
588.7789355070563,-657.654544771649,12.041727464785295
586.552065075608,-666.9414648134261,11.489337492547143
583.9565822309814,-677.3773601027206,12.258074473680958
582.1511450364487,-689.7711656438187,12.207322334502141
581.3480367212323,-700.9710717024282,11.945876032402396
581.8862736760639,-713.9620683817193,12.23076923076923
583.8495360998204,-726.0088725276291,12.271166474400319
587.9064310045214,-737.6895228913054,12.141275059290466
594.227390796761,-750.0157009270042,12.304049764403121
601.3719117367873,-760.6118294559419,11.981807368252287
609.1394006394548,-769.9911108212546,12.100101257087914
617.8510691123083,-779.4170220671222,13.588603029804109
622.8996778882574,-785.7110078874975,11.886825146480161
625.489288155688,-789.1074648555368,11.136996678920845
628.0606295572361,-793.3654299462214,12.932713787099981
631.0127287326613,-797.6314665125683,11.630050112771217
633.8170349131105,-803.0430000200868,13.344082830563204
636.1312041929923,-809.3096892870963,12.420661664304854
637.4167895524297,-814.8377087041736,11.990059952671142
638.4536129225744,-821.2847895454615,11.242745742232987
639.1529908915982,-825.531074126251,11.65508817828131
639.3992877906421,-831.0378793859854,11.800298195263892
639.1610256659333,-836.282122596167,11.65379917054733
638.6563213743502,-842.0225636707619,11.604089387651069
637.2866419850616,-849.6732824444771,11.69378752004286
635.2843402151484,-856.4088995819911,11.776920335107329
631.6221718699671,-864.0910401875153,11.905370032164635
627.1541893715039,-871.5300443656743,13.121105610060278
623.6038655843586,-876.2188882799819,11.914019307223734
619.5171157788718,-881.4734597597271,11.916043773327182
613.9720745340455,-886.6063040848821,12.872218410789236
608.8075686979573,-890.8863204512745,11.962341533554476
605.1705730117392,-894.8714151643217,10.466276575579238
601.6033670089673,-897.1381735140458,13.475750966016307
597.0538587523624,-900.7621292211115,12.150876471725443
591.3792184185004,-904.9826335450634,12.161790624777439
577.8815061926143,-912.8328180033714,12.009762242832263
564.6024383590557,-921.5181971387938,11.169894814042825
552.8006193287438,-928.3444862952456,12.029745896702671
546.5006277565844,-931.6036024997011,13.822698319943676
541.1242312677205,-935.1804484026507,12.27725838840374
536.5868386679795,-939.0988969830796,12.180165276072618
532.6029118574224,-942.8488614019006,13.166673652852586
528.6398907585535,-946.1493028644472,12.190329098220376
524.0309260815848,-949.5506323641166,12.183993768137434
518.5448934757151,-954.9500753460452,12.223563041662366
512.9620260139927,-963.1729710353538,12.198085733739354
506.37186020531226,-974.3999765776098,11.913519407347232
502.02888848865405,-982.6570985391736,11.38976615955764
498.12067413004115,-989.6725948257372,11.353665509584967
433.1124083814211,-1118.257855437696,11.441170396313575
378.4264911522623,-1226.957841353491,9.96312240503663
303.10414265061263,-1375.0839097090065,11.180391560123452
270.0043103072094,-1442.4520837701857,10.675223794863236
253.70151857321616,-1474.6891227867454,11.125123290735603
236.539562653983,-1506.3353444477543,11.698102716770602
221.9073096655775,-1532.0714752171189,11.659020697992917
203.48383466131054,-1561.0049655800685,11.633128622488387
184.43772768147755,-1590.43987891078,11.799883035723669
157.94216176425107,-1631.9681357266381,11.801066399173898
153.24447678099386,-1638.4671480618417,11.355303690272974
149.8086740593426,-1643.3061549225822,12.632412019493836
146.62184685794637,-1646.5766505729407,12.632073483012492
141.9600730658276,-1652.0753112165257,10.5281969724268
138.48370317998342,-1655.3562717121094,11.792347933991287
134.66786272230092,-1659.3225790681317,11.19930858221139
132.9796424160013,-1661.055098414421,10.494499785066353
128.98307699512225,-1663.4074069177732,12.528805226974216
123.8934323011199,-1665.733099556528,12.8034193848223
118.63814006058965,-1668.2773186927661,11.426429518966781
113.5636711679399,-1670.517612092197,11.193833843873767
109.38808764878195,-1672.1649677390233,11.32872445550867
103.91830995108467,-1673.8656449187547,12.283742560764301
99.19110448565334,-1675.1609883755445,12.884455069818603
92.9606257796986,-1676.3581692595035,13.802226819642405
87.41135853074957,-1677.220894381404,11.923076923076923
80.37160361581482,-1677.6116353264078,13.75077259313892
74.73574904806446,-1677.5807036003098,13.928007405093936
68.12401093088556,-1677.6905165836215,12.404868279835247
61.51448044704739,-1676.3497601142153,10.213575187154195
56.775306520517915,-1675.5878628874198,11.36672125614085
51.68326597928535,-1674.3236156133935,11.880274697406323
47.04700167721603,-1672.5334306722507,11.723302429945134
41.79993126762565,-1670.3315904615447,13.909101933731023
35.32498139038216,-1666.8027609679848,11.970073425772437
30.573099985253066,-1663.8151879478246,12.364837659867339
26.465442852699198,-1660.8846583999693,11.803266685704177
21.419435408897698,-1656.9033658895642,11.81254853228253
16.107039767783135,-1651.7772359903902,12.626706018126066
11.36960265005473,-1647.1089495252818,10.854678011807492
8.348895188421011,-1642.8674876866862,10.60887631044235
5.654230707790703,-1638.8583315173164,11.426771810543164
2.926577030797489,-1634.853464430198,11.797976914857523
0.3759813772048801,-1629.493113975972,11.76928949086256
-3.1199662544531748,-1622.8754175147042,12.153486286325402
-5.633559435606003,-1618.0484988559037,11.673151883717148
-7.937508673872799,-1612.5023703509942,11.682830913591491
-11.802398282219656,-1604.840730709955,11.771244591485997
-15.950052682310343,-1596.373365025036,11.835159632115769
-20.34905345120933,-1588.6313397521153,11.793185265119437
-25.082880147034302,-1579.2145318901166,11.708874313988543
-29.600890214787796,-1571.7789318338037,11.737997501843832
-34.389638428227045,-1563.5575380204245,11.69784249857308
-40.22448663704563,-1554.3426918890327,11.673273701578527
-46.57725366728846,-1544.1760032298043,11.654264512485318
-54.60333740839269,-1533.7172183236107,11.542213662891543
-59.57279632485006,-1526.9457874977961,11.63074098620751
-65.45104393351357,-1519.7192644802853,11.647390802253447
-74.68066023825668,-1507.6275584734976,11.86164703168516
-83.09532687871251,-1498.0431641340256,11.71048006228285
-92.88487992226146,-1487.2083489103243,11.812600177271802
-104.22339783213101,-1475.3143037222326,12.25518290485107
-116.93791035702452,-1461.5931979771703,12.651891860248117
-164.62768055533525,-1413.3911821851507,12.364015047651169
-216.88319590699393,-1354.4738618107513,11.049049941125235
